#Parameters = {Lh=0.033016666666667; Oa=0.049839326046652; Oo=0.0041966915170919; a=0.5; d=0.035; h=9; p=3; phi=0; r_1=2; r_2=2.7; s=0.2; t=0.2; theta=0; w=12}
#"Wavelength / nm"	"R_Zmax(1),Zmax(1) [Magnitude / dB]"
#------------------------------------------------------
23605705.354331	-8.6187014297678
23624307.171001	-8.6564818034622
23642938.328076	-8.6941863768102
23661598.895028	-8.7318132156383
23680288.941548	-8.7693603766154
23699008.537549	-8.8068259073939
23717757.753165	-8.8442078467634
23736536.658749	-8.8815042248142
23755345.324881	-8.9187130631133
23774183.822363	-8.9558323748913
23793052.222222	-8.9928601652415
23811950.595711	-9.0297944313300
23830879.014308	-9.0666331626186
23849837.549722	-9.1033743410987
23868826.273885	-9.1400159415381
23887845.258964	-9.1765559317396
23906894.577352	-9.2129922728120
23925974.301676	-9.2493229194529
23945084.504792	-9.2855458202449
23964225.259792	-9.3216589179633
23983396.640000	-9.3576601498967
24002598.718975	-9.3935474481803
24021831.570513	-9.4293187401416
24041095.268645	-9.4649719486583
24060389.887640	-9.5005049925296
24079715.502008	-9.5359157868597
24099072.186495	-9.5712022434535
24118460.016090	-9.6063622712255
24137879.066023	-9.6413937766209
24157329.411765	-9.6762946640491
24176811.129032	-9.7110628363300
24196324.293785	-9.7456961951521
24215868.982229	-9.7801926415431
24235445.270816	-9.8145500763529
24255053.236246	-9.8487664007482
24274692.955466	-9.8828395167192
24294364.505673	-9.9167673275978
24314067.964315	-9.9505477385880
24333803.409091	-9.9841786573070
24353570.917953	-10.017657994338
24373370.569106	-10.050983663793
24393202.441009	-10.084153583890
24413066.612378	-10.117165677533
24432963.162184	-10.150017872913
24452892.169657	-10.182708104107
24472853.714286	-10.215234311700
24492847.875817	-10.247594443402
24512874.734260	-10.279786454689
24532934.369885	-10.311808309439
24553026.863227	-10.343657980584
24573152.295082	-10.375333450773
24593310.746514	-10.406832713032
24613502.298851	-10.438153771442
24633727.033689	-10.469294641818
24653985.032895	-10.500253352394
24674276.378601	-10.531027944519
24694601.153213	-10.561616473351
24714959.439406	-10.592017008565
24735351.320132	-10.622227635056
24755776.878613	-10.652246453652
24776236.198347	-10.682071581830
24796729.363110	-10.711701154433
24817256.456954	-10.741133324389
24837817.564209	-10.770366263434
24858412.769486	-10.799398162835
24879042.157676	-10.828227234113
24899705.813953	-10.856851709766
24920403.823774	-10.885269843995
24941136.272879	-10.913479913421
24961903.247294	-10.941480217808
24982704.833333	-10.969269080779
25003541.117598	-10.996844850532
25024412.186978	-11.024205900546
25045318.128655	-11.051350630290
25066259.030100	-11.078277465923
25087234.979079	-11.104984860988
25108246.063652	-11.131471297102
25129292.372171	-11.157735284632
25150373.993289	-11.183775363373
25171491.015953	-11.209590103212
25192643.529412	-11.235178104782
25213831.623213	-11.260538000105
25235055.387205	-11.285668453232
25256314.911542	-11.310568160864
25277610.286678	-11.335235852963
25298941.603376	-11.359670293352
25320308.952703	-11.383870280300
25341712.426035	-11.407834647098
25363152.115059	-11.431562262610
25384628.111770	-11.455052031823
25406140.508475	-11.478302896367
25427689.397795	-11.501313835031
25449274.872666	-11.524083864254
25470897.026338	-11.546612038604
25492555.952381	-11.568897451231
25514251.744681	-11.590939234314
25535984.497445	-11.612736559476
25557754.305200	-11.634288638189
25579561.262799	-11.655594722154
25601405.465414	-11.676654103663
25623287.008547	-11.697466115938
25645205.988024	-11.718030133449
25667162.500000	-11.738345572214
25689156.640960	-11.758411890075
25711188.507719	-11.778228586944
25733258.197425	-11.797795205042
25755365.807560	-11.817111329102
25777511.435942	-11.836176586552
25799695.180723	-11.854990647678
25821917.140396	-11.873553225762
25844177.413793	-11.891864077192
25866476.100086	-11.909923001554
25888813.298791	-11.927729841697
25911189.109767	-11.945284483773
25933603.633218	-11.962586857255
