#Parameters = {Lh=0.033016666666667; Oa=0.049839326046652; Oo=0.0041966915170919; a=0.5; d=0.035; h=9; p=3; phi=0; r_1=2; r_2=2.7; s=0.2; t=0.2; theta=0; w=12}
#"Wavelength / nm"	"T_Zmax(2),Zmax(1) [Magnitude / dB]"
#------------------------------------------------------
23605705.354331	-54.493985313699
23624307.171001	-54.489604307342
23642938.328076	-54.485380308780
23661598.895028	-54.481311682016
23680288.941548	-54.477396796297
23699008.537549	-54.473634026591
23717757.753165	-54.470021754053
23736536.658749	-54.466558366473
23755345.324881	-54.463242258711
23774183.822363	-54.460071833121
23793052.222222	-54.457045499955
23811950.595711	-54.454161677765
23830879.014308	-54.451418793777
23849837.549722	-54.448815284263
23868826.273885	-54.446349594894
23887845.258964	-54.444020181082
23906894.577352	-54.441825508306
23925974.301676	-54.439764052428
23945084.504792	-54.437834299992
23964225.259792	-54.436034748519
23983396.640000	-54.434363906776
24002598.718975	-54.432820295043
24021831.570513	-54.431402445364
24041095.268645	-54.430108901786
24060389.887640	-54.428938220583
24079715.502008	-54.427888970474
24099072.186495	-54.426959732825
24118460.016090	-54.426149101838
24137879.066023	-54.425455684735
24157329.411765	-54.424878101923
24176811.129032	-54.424414987154
24196324.293785	-54.424064987671
24215868.982229	-54.423826764345
24235445.270816	-54.423698991800
24255053.236246	-54.423680358528
24274692.955466	-54.423769566998
24294364.505673	-54.423965333748
24314067.964315	-54.424266389473
24333803.409091	-54.424671479102
24353570.917953	-54.425179361865
24373370.569106	-54.425788811354
24393202.441009	-54.426498615571
24413066.612378	-54.427307576968
24432963.162184	-54.428214512487
24452892.169657	-54.429218253576
24472853.714286	-54.430317646214
24492847.875817	-54.431511550919
24512874.734260	-54.432798842746
24532934.369885	-54.434178411288
24553026.863227	-54.435649160660
24573152.295082	-54.437210009483
24593310.746514	-54.438859890857
24613502.298851	-54.440597752329
24633727.033689	-54.442422555856
24653985.032895	-54.444333277763
24674276.378601	-54.446328908687
24694601.153213	-54.448408453530
24714959.439406	-54.450570931393
24735351.320132	-54.452815375511
24755776.878613	-54.455140833182
24776236.198347	-54.457546365694
24796729.363110	-54.460031048240
24817256.456954	-54.462593969837
24837817.564209	-54.465234233235
24858412.769486	-54.467950954824
24879042.157676	-54.470743264539
24899705.813953	-54.473610305755
24920403.823774	-54.476551235185
24941136.272879	-54.479565222772
24961903.247294	-54.482651451577
24982704.833333	-54.485809117666
25003541.117598	-54.489037429990
25024412.186978	-54.492335610268
25045318.128655	-54.495702892860
25066259.030100	-54.499138524648
25087234.979079	-54.502641764900
25108246.063652	-54.506211885149
25129292.372171	-54.509848169051
25150373.993289	-54.513549912262
25171491.015953	-54.517316422290
25192643.529412	-54.521147018368
25213831.623213	-54.525041031308
25235055.387205	-54.528997803363
25256314.911542	-54.533016688084
25277610.286678	-54.537097050176
25298941.603376	-54.541238265355
25320308.952703	-54.545439720201
25341712.426035	-54.549700812012
25363152.115059	-54.554020948657
25384628.111770	-54.558399548426
25406140.508475	-54.562836039886
25427689.397795	-54.567329861723
25449274.872666	-54.571880462604
25470897.026338	-54.576487301014
25492555.952381	-54.581149845118
25514251.744681	-54.585867572599
25535984.497445	-54.590639970517
25557754.305200	-54.595466535152
25579561.262799	-54.600346771855
25601405.465414	-54.605280194897
25623287.008547	-54.610266327322
25645205.988024	-54.615304700789
25667162.500000	-54.620394855432
25689156.640960	-54.625536339701
25711188.507719	-54.630728710221
25733258.197425	-54.635971531636
25755365.807560	-54.641264376467
25777511.435942	-54.646606824962
25799695.180723	-54.651998464947
25821917.140396	-54.657438891685
25844177.413793	-54.662927707725
25866476.100086	-54.668464522763
25888813.298791	-54.674048953494
25911189.109767	-54.679680623471
25933603.633218	-54.685359162962
25956056.969697	-54.691084208811
25978549.220104	-54.696855404297
26001080.485690	-54.702672398995
26023650.868056	-54.708534848637
26046260.469157	-54.714442414979
26068909.391304	-54.720394765663
26091597.737163	-54.726391574081
26114325.609756	-54.732432519246
26137093.112467	-54.738517285657
26159900.349040	-54.744645563169
26182747.423581	-54.750817046865
26205634.440559	-54.757031436926
26228561.504812	-54.763288438506
26251528.721541	-54.769587761606
26274536.196319	-54.775929120949
26297584.035088	-54.782312235861
26320672.344162	-54.788736830143
26343801.230228	-54.795202631959
26366970.800352	-54.801709373714
26390181.161972	-54.808256791935
26413432.422907	-54.814844627161
26436724.691358	-54.821472623824
26460058.075905	-54.828140530139
26483432.685512	-54.834848097995
26506848.629531	-54.841595082839
26530306.017699	-54.848381243578
26553804.960142	-54.855206342462
