#Parameters = {a=0.5; d=0.035; h=9; p=3; phi=0; r_1=2; r_2=2.7; s=0.2; t=0.2; theta=0; w=12}
#"Wavelength / nm"	"R_Zmax(1),Zmax(1) [Magnitude / dB]"
#------------------------------------------------------
23605705.354331	-8.4947731038770
23624307.171001	-8.5350841956433
23642938.328076	-8.5753525764169
23661598.895028	-8.6155762991963
23680288.941548	-8.6557534103892
23699008.537549	-8.6958819496202
23717757.753165	-8.7359599495467
23736536.658749	-8.7759854356832
23755345.324881	-8.8159564262352
23774183.822363	-8.8558709319413
23793052.222222	-8.8957269559257
23811950.595711	-8.9355224935592
23830879.014308	-8.9752555323314
23849837.549722	-9.0149240517317
23868826.273885	-9.0545260231420
23887845.258964	-9.0940594097390
23906894.577352	-9.1335221664080
23925974.301676	-9.1729122396677
23945084.504792	-9.2122275676064
23964225.259792	-9.2514660798296
23983396.640000	-9.2906256974202
24002598.718975	-9.3297043329102
24021831.570513	-9.3686998902648
24041095.268645	-9.4076102648796
24060389.887640	-9.4464333435903
24079715.502008	-9.4851670046957
24099072.186495	-9.5238091179938
24118460.016090	-9.5623575448318
24137879.066023	-9.6008101381696
24157329.411765	-9.6391647426576
24176811.129032	-9.6774191947285
24196324.293785	-9.7155713227037
24215868.982229	-9.7536189469142
24235445.270816	-9.7915598798368
24255053.236246	-9.8293919262444
24274692.955466	-9.8671128833729
24294364.505673	-9.9047205411023
24314067.964315	-9.9422126821540
24333803.409091	-9.9795870823037
24353570.917953	-10.016841510610
24373370.569106	-10.053973729661
24393202.441009	-10.090981495831
24413066.612378	-10.127862559564
24432963.162184	-10.164614665663
24452892.169657	-10.201235553601
24472853.714286	-10.237722957851
24492847.875817	-10.274074608225
24512874.734260	-10.310288230238
24532934.369885	-10.346361545485
24553026.863227	-10.382292272033
24573152.295082	-10.418078124833
24593310.746514	-10.453716816150
24613502.298851	-10.489206056004
24633727.033689	-10.524543552635
24653985.032895	-10.559727012979
24674276.378601	-10.594754143163
24694601.153213	-10.629622649020
24714959.439406	-10.664330236612
24735351.320132	-10.698874612780
24755776.878613	-10.733253485702
24776236.198347	-10.767464565470
24796729.363110	-10.801505564686
24817256.456954	-10.835374199064
24837817.564209	-10.869068188065
