#Parameters = {a=0.5; d=0.035; h=9; p=3; phi=0; r_1=2; r_2=2.7; s=0.2; t=0.2; theta=0; w=12}
#"Wavelength / nm"	"T_Zmax(2),Zmax(1) [Magnitude]"
#-------------------------------------------------
23605705.354331	5.5335174150889e-07
23624307.171001	5.5346377449123e-07
23642938.328076	5.5354669016729e-07
23661598.895028	5.5360059288388e-07
23680288.941548	5.5362559649408e-07
23699008.537549	5.5362182422141e-07
23717757.753165	5.5358940851688e-07
23736536.658749	5.5352849090908e-07
23755345.324881	5.5343922184773e-07
23774183.822363	5.5332176054079e-07
23793052.222222	5.5317627478551e-07
23811950.595711	5.5300294079364e-07
23830879.014308	5.5280194301114e-07
23849837.549722	5.5257347393263e-07
23868826.273885	5.5231773391084e-07
23887845.258964	5.5203493096150e-07
23906894.577352	5.5172528056379e-07
23925974.301676	5.5138900545681e-07
23945084.504792	5.5102633543222e-07
23964225.259792	5.5063750712350e-07
23983396.640000	5.5022276379207e-07
24002598.718975	5.4978235511053e-07
24021831.570513	5.4931653694342e-07
24041095.268645	5.4882557112574e-07
24060389.887640	5.4830972523950e-07
24079715.502008	5.4776927238876e-07
24099072.186495	5.4720449097317e-07
24118460.016090	5.4661566446063e-07
24137879.066023	5.4600308115906e-07
24157329.411765	5.4536703398782e-07
24176811.129032	5.4470782024883e-07
24196324.293785	5.4402574139783e-07
24215868.982229	5.4332110281595e-07
24235445.270816	5.4259421358188e-07
24255053.236246	5.4184538624494e-07
24274692.955466	5.4107493659916e-07
24294364.505673	5.4028318345876e-07
24314067.964315	5.3947044843519e-07
24333803.409091	5.3863705571592e-07
24353570.917953	5.3778333184528e-07
24373370.569106	5.3690960550746e-07
24393202.441009	5.3601620731193e-07
24413066.612378	5.3510346958152e-07
24432963.162184	5.3417172614311e-07
24452892.169657	5.3322131212147e-07
24472853.714286	5.3225256373602e-07
24492847.875817	5.3126581810099e-07
24512874.734260	5.3026141302890e-07
24532934.369885	5.2923968683764e-07
24553026.863227	5.2820097816113e-07
24573152.295082	5.2714562576386e-07
24593310.746514	5.2607396835930e-07
24613502.298851	5.2498634443221e-07
24633727.033689	5.2388309206521e-07
24653985.032895	5.2276454876935e-07
24674276.378601	5.2163105131900e-07
24694601.153213	5.2048293559108e-07
24714959.439406	5.1932053640854e-07
